chr,ped.donor,suffix,Line,pos_leftflank,pos_start,pos_end,pos_rightflank,marker_left_flank,marker_start,marker_end,marker_right_flank,chrom.size,intro_start,intro_end,intro.size,intro.prop.chr,B73,CML103,CML228,CML247,CML277,CML322,CML333,CML52,CML69,KI3,Ki11,M162W,Mo17,Mo18W,NC350,NC358,Oh43,Tx303,Tzi8,N.SNPs,N.homoz,perc.homoz,best.matches,ped.match,intro.size.Mbp,nNIL_good,intro_good
1,CML52,B73 NIL-1065,CML52/B73 NIL-1065,57595606,57678468,92896641,92896703,S1_57595606,S1_57678468,S1_92896641,S1_92896703,307041717,57637037,92896672,35259635,0.114836626581267,0.577956989247312,0.658469945355191,0.603305785123967,0.75414364640884,0.687150837988827,0.677611940298507,0.64066852367688,0.681440443213296,0.663934426229508,0.668478260869565,0.630853994490358,0.620111731843575,0.646739130434783,0.634005763688761,0.654891304347826,0.950413223140496,0.574931880108992,0.607629427792916,0.680351906158358,453,372,0.821192052980132,NC358,FALSE,35.259635,FALSE,TRUE
1,CML247,B73 NIL-1015,CML247/B73 NIL-1015,280038979,280094075,298582556,298595582,S1_280038979,S1_280094075,S1_298582556,S1_298595582,307041717,280066527,298589069,18522542,0.0603258155959309,0.710045662100457,0.711009174311927,0.633802816901408,0.666666666666667,0.645833333333333,0.655172413793103,0.65661252900232,0.648837209302326,0.680459770114943,0.626423690205011,0.643518518518518,0.666666666666667,0.661290322580645,0.685714285714286,0.619589977220957,0.695443645083933,0.660592255125285,0.668949771689498,0.72544080604534,582,443,0.761168384879725,NA,NA,18.522542,FALSE,TRUE
1,CML228,B73 NIL-1117B,CML228/B73 NIL-1117B,18000315,18000338,45447598,45447641,S1_18000315,S1_18000338,S1_45447598,S1_45447641,307041717,18000326.5,45447619.5,27447293,0.0893927159741619,0.608247422680412,0.68566493955095,0.862306368330465,0.688057040998218,0.675302245250432,0.651933701657459,0.679376083188908,0.660344827586207,0.689895470383275,0.706896551724138,0.695652173913043,0.647469458987784,0.612349914236707,0.694642857142857,0.670194003527337,0.657940663176265,0.574614065180103,0.641739130434783,0.657844990548204,749,595,0.794392523364486,CML228,TRUE,27.447293,FALSE,TRUE
1,CML322,B73 NIL-1037,CML322/B73 NIL-1037,72345866,72406514,84359647,84359666,S1_72345866,S1_72406514,S1_84359647,S1_84359666,307041717,72376190,84359656.5,11983466.5,0.0390287893680584,0.637037037037037,0.537313432835821,0.721804511278195,0.669172932330827,0.646616541353383,0.933333333333333,0.7265625,0.682170542635659,0.723880597014925,0.661538461538462,0.713178294573643,0.625,0.66412213740458,0.708661417322835,0.762962962962963,0.661538461538462,0.708955223880597,0.58955223880597,0.693548387096774,163,135,0.828220858895706,CML322,TRUE,11.9834665,TRUE,TRUE
1,CML103,B73 NIL-1003B,CML103/B73 NIL-1003B,292162640,292167367,304252045,304252046,S1_292162640,S1_292167367,S1_304252045,S1_304252046,307041717,292165003.5,304252045.5,12087042,0.039366123007969,0.633074935400517,0.956072351421189,0.674666666666667,0.674863387978142,0.666666666666667,0.68299711815562,0.653225806451613,0.641509433962264,0.651595744680851,0.658730158730159,0.652741514360313,0.682666666666667,0.682539682539683,0.648793565683646,0.644155844155844,0.666666666666667,0.699208443271768,0.639257294429708,0.651558073654391,484,389,0.803719008264463,CML103,TRUE,12.087042,TRUE,TRUE
1,CML333,B73 NIL-1156,CML333/B73 NIL-1156,285934910,286054962,298109195,298109201,S1_285934910,S1_286054962,S1_298109195,S1_298109201,307041717,285994936,298109198,12114262,0.0394547754564569,0.713286713286713,0.72280701754386,0.695340501792115,0.724907063197026,0.737588652482269,0.730038022813688,0.834507042253521,0.679856115107914,0.723404255319149,0.660839160839161,0.692579505300353,0.633451957295374,0.687943262411348,0.730909090909091,0.729824561403509,0.708955223880597,0.691228070175439,0.762411347517731,0.654275092936803,382,289,0.756544502617801,CML333,TRUE,12.114262,TRUE,TRUE
1,M162W,B73 NIL-1058,M162W/B73 NIL-1058,243996394,243997096,296462426,296463866,S1_243996394,S1_243997096,S1_296462426,S1_296463866,307041717,243996745,296463146,52466401,0.170877109184483,0.715919085312225,0.639679715302491,0.650547445255474,0.645569620253165,0.654891304347826,0.655862726406101,0.647798742138365,0.615661566156616,0.653811659192825,0.661375661375661,0.665760869565217,0.965394853593611,0.643992932862191,0.667579908675799,0.663120567375887,0.659070191431176,0.672823218997362,0.672291296625222,0.662068965517241,1316,1152,0.875379939209726,M162W,TRUE,52.466401,TRUE,TRUE
1,CML228,B73 NIL-1134B,CML228/B73 NIL-1134B,8117900,8117936,21773408,21842160,S1_8117900,S1_8117936,S1_21773408,S1_21842160,307041717,8117918,21807784,13689866,0.0445863387352019,0.646919431279621,0.727923627684964,0.660146699266504,0.969121140142518,0.714285714285714,0.729381443298969,0.624697336561743,0.670616113744076,0.719424460431655,0.680094786729858,0.66504854368932,0.718009478672986,0.66747572815534,0.703703703703704,0.678571428571429,0.694376528117359,0.620283018867924,0.642685851318945,0.67866323907455,518,427,0.824324324324324,CML247,FALSE,13.689866,FALSE,TRUE
1,Ki11,B73 NIL-1212,Ki11/B73 NIL-1212,188721762,188722601,188722693,188722694,S1_188721762,S1_188722601,S1_188722693,S1_188722694,307041717,188722181.5,188722693.5,512,1.66752584959001e-06,0.25,1,1,0.75,1,NA,0.25,NA,NA,1,1,0.25,NA,0.25,0.75,NA,0.5,0.5,0.25,4,4,1,CML103,FALSE,0.000512,TRUE,FALSE
1,Ki11,B73 NIL-1039B,Ki11/B73 NIL-1039B,62426086,62426091,203196281,203196288,S1_62426086,S1_62426091,S1_203196281,S1_203196288,307041717,62426088.5,203196284.5,140770196,0.458472540394242,0.633672525439408,0.692234848484849,0.668571428571429,0.693486590038314,0.697142857142857,0.654488517745303,0.665406427221172,0.681558935361217,0.690181124880839,0.703564727954972,0.975678203928905,0.669180018850141,0.657223796033994,0.679725759059745,0.680648236415634,0.681075888568684,0.658215962441315,0.693820224719101,0.664609053497942,1442,1096,0.76005547850208,Ki11,TRUE,140.770196,TRUE,TRUE
1,CML333,B73 NIL-1174,CML333/B73 NIL-1174,67608315,67950058,71773387,71773460,S1_67608315,S1_67950058,S1_71773387,S1_71773460,307041717,67779186.5,71773423.5,3994237,0.0130087762634548,0.619047619047619,0.714285714285714,0.666666666666667,0.571428571428571,0.65,0.631578947368421,0.619047619047619,0.523809523809524,0.6,0.619047619047619,0.7,0.6,0.5,0.761904761904762,0.666666666666667,0.55,0.714285714285714,0.55,0.611111111111111,26,21,0.807692307692308,NA,NA,3.994237,TRUE,FALSE
1,Tzi8,B73 NIL-1107,Tzi8/B73 NIL-1107,287536511,287597860,300613545,300613581,S1_287536511,S1_287597860,S1_300613545,S1_300613581,307041717,287567185.5,300613563,13046377.5,0.0424905697749208,0.817415730337079,0.662011173184358,0.654867256637168,0.714714714714715,0.667621776504298,0.671779141104294,0.647727272727273,0.666666666666667,0.676136363636364,0.622159090909091,0.615384615384615,0.67887323943662,0.702857142857143,0.684971098265896,0.661016949152542,0.675516224188791,0.694915254237288,0.669491525423729,0.684848484848485,412,363,0.881067961165049,B73,FALSE,13.0463775,FALSE,TRUE
